Reaction,LowerBound,UpperBound,width,iswidthzero,arebothboundszero,isnotreversible
23DAPPAtex,0,-2.3500082088617E-17,-2.3500082088617E-17,0,0,1
23PDE2pp,0,0,0,1,1,1
23PDE4pp,0,0,0,1,1,1
23PDE7pp,0,0,0,1,1,1
23PDE9pp,-3.57616943700192E-29,0,3.57616943700192E-29,0,0,1
26DAHtex,0,0,0,1,1,1
2AGPA120tipp,0,0.8301770554,0.8301770554,0,0,1
2AGPA140tipp,0,0.8301770554,0.8301770554,0,0,1
2AGPA141tipp,0,0.8301770554,0.8301770554,0,0,1
2AGPA160tipp,0,0.8301770554,0.8301770554,0,0,1
2AGPA161tipp,0,0.8301770554,0.8301770554,0,0,1
2AGPA180tipp,0,0.8301770554,0.8301770554,0,0,1
2AGPA181tipp,0,0.8301770554,0.8301770554,0,0,1
2AGPE120tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPE140tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPE141tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPE160tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPE161tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPE180tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPE181tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPEAT120,0,1.1165920959,1.1165920959,0,0,1
2AGPEAT140,0,1.1165920959,1.1165920959,0,0,1
2AGPEAT141,0,1.1165920959,1.1165920959,0,0,1
2AGPEAT160,0,1.1165920959,1.1165920959,0,0,1
2AGPEAT161,0,1.1165920959,1.1165920959,0,0,1
2AGPEAT180,0,1.1165920959,1.1165920959,0,0,1
2AGPEAT181,0,1.1165920959,1.1165920959,0,0,1
2AGPG120tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPG140tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPG141tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPG160tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPG161tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPG180tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPG181tipp,0,1.1165920959,1.1165920959,0,0,1
2AGPGAT120,0,1.1165920959,1.1165920959,0,0,1
2AGPGAT140,0,1.1165920959,1.1165920959,0,0,1
2AGPGAT141,0,1.1165920959,1.1165920959,0,0,1
2AGPGAT160,0,1.1165920959,1.1165920959,0,0,1
2AGPGAT161,0,1.1165920959,1.1165920959,0,0,1
2AGPGAT180,0,1.1165920959,1.1165920959,0,0,1
2AGPGAT181,0,1.1165920959,1.1165920959,0,0,1
2DGULRGx,0,0,0,1,1,1
2DGULRGy,0,0,0,1,1,1
2DGULRx,0,0,0,1,1,1
2DGULRy,0,0,0,1,1,1
2MAHMP,0,3.3497762878,3.3497762878,0,0,1
34dhpactex,0,0,0,1,1,1
3AMACHYD,0,0.2951618703,0.2951618703,0,0,1
3AMPtex,-5.14104991899073E-14,0,5.14104991899073E-14,0,0,1
3CMPtex,-1.35599800884532E-14,0,1.35599800884532E-14,0,0,1
3GMPtex,1.13578853545755E-13,0,-1.13578853545755E-13,0,0,1
3HAD100,0,0.4179111725,0.4179111725,0,0,1
3HAD120,0,0.6471832255,0.6471832255,0,0,1
3HAD121,1.99018663385642E-14,0.3688982239,0.3688982239,0,0,1
3HAD140,0,0.6471832255,0.6471832255,0,0,1
3HAD141,0,0.3688982239,0.3688982239,0,0,1
3HAD160,1.02060737664297E-14,0.6471832255,0.6471832255,0,0,1
3HAD161,0,0.6471832255,0.6471832255,0,0,1
3HAD180,0,0.6471832255,0.6471832255,0,0,1
3HAD181,0,0.6471832255,0.6471832255,0,0,1
3HAD40,0,0.2026449742,0.2026449742,0,0,1
3HAD60,0,0.2026449742,0.2026449742,0,0,1
3HAD80,0,0.2026449742,0.2026449742,0,0,1
3HCINNMH,0,0,0,1,1,1
3HPPPNH,0,0,0,1,1,1
3HPPtex,-0.2951618703,0,0.2951618703,0,0,1
3HPPtpp,0,0.2951618703,0.2951618703,0,0,1
3KGK,0,0,0,1,1,1
3NTD2pp,0,0,0,1,1,1
3NTD4pp,0,0,0,1,1,1
3NTD7pp,0,0,0,1,1,1
3NTD9pp,0,0,0,1,1,1
3OAR100,0,0.4179111725,0.4179111725,0,0,1
3OAR120,0,0.6471832255,0.6471832255,0,0,1
3OAR121,0,0.3688982239,0.3688982239,0,0,1
3OAR140,0,0.6471832255,0.6471832255,0,0,1
3OAR141,0,0.3688982239,0.3688982239,0,0,1
3OAR160,0,0.6471832272,0.6471832272,0,0,1
3OAR161,0,0.6471832271,0.6471832271,0,0,1
3OAR180,0,0.6471832271,0.6471832271,0,0,1
3OAR181,0,0.6471832271,0.6471832271,0,0,1
3OAR40,0,0.2026449742,0.2026449742,0,0,1
3OAR60,-5.59974916538278E-29,0.2026449742,0.2026449742,0,0,0
3OAR80,-5.59974916538278E-29,0.2026449742,0.2026449742,0,0,0
3OAS100,0,0.4179111725,0.4179111725,0,0,1
3OAS120,0,0.6471832255,0.6471832255,0,0,1
3OAS121,-3.30499695263408E-29,0.3688982239,0.3688982239,0,0,0
3OAS140,0,0.6471832255,0.6471832255,0,0,1
3OAS141,6.71307758646432E-30,0.368898224,0.368898224,0,0,1
3OAS160,0,0.6471832272,0.6471832272,0,0,1
3OAS161,-3.94430452610506E-31,0.6471832256,0.6471832256,0,0,0
3OAS180,3.15544362088405E-30,0.6471832255,0.6471832255,0,0,1
3OAS181,0,0.6471832255,0.6471832255,0,0,1
3OAS60,0,0.2026449742,0.2026449742,0,0,1
3OAS80,0,0.2026449742,0.2026449742,0,0,1
3OXCOAT,0,0,0,1,1,1
3PEPTabcpp,0,0.1065599509,0.1065599509,0,0,1
3PEPTtex,-0.0630196756,0,0.0630196756,0,0,1
3UMPtex,0,0,0,1,1,1
42A12BOOXpp,0,0,0,1,1,1
4HOXPACDtex,0,0,0,1,1,1
4HTHRS,0,0,0,1,1,1
4PCP,0,0.1068051694,0.1068051694,0,0,1
4PCPpp,0,0.105943565,0.105943565,0,0,1
4PEPTabcpp,0,0.1062519741,0.1062519741,0,0,1
4PEPTtex,-0.0582685479,0,0.0582685479,0,0,1
5DGLCNR,-0.23,0,0.23,0,0,1
5DGLCNt2rpp,-0.23,0,0.23,0,0,1
5DGLCNtex,-0.23,0,0.23,0,0,1
5DOAN,0,0.0510442645,0.0510442645,0,0,1
5MTRtex,-0.0478513872,0,0.0478513872,0,0,1
5MTRtpp,0,0.0478513872,0.0478513872,0,0,1
A5PISO,0,0.0194,0.0194,0,0,1
AACPS1,0,3.3497763078,3.3497763078,0,0,1
AACPS2,0,3.3497763078,3.3497763078,0,0,1
AACPS3,0,3.3497763078,3.3497763078,0,0,1
AACPS4,0,3.3497763078,3.3497763078,0,0,1
AACPS5,0,3.3497763078,3.3497763078,0,0,1
AACPS6,0,3.3497763078,3.3497763078,0,0,1
AACPS7,0,3.3497763078,3.3497763078,0,0,1
AACPS8,-1.26217744835362E-29,3.3497763078,3.3497763078,0,0,0
AACPS9,0,3.3497763078,3.3497763078,0,0,1
AACTOOR,0,0.7200660732,0.7200660732,0,0,1
AADDGT,-1.57772181044202E-30,0.0174478916,0.0174478916,0,0,0
AAMYL,0,0,0,1,1,1
AAMYLpp,0,0,0,1,1,1
AB6PGH,0,0,0,1,1,1
ABTA,0,0.2178542628,0.2178542628,0,0,1
ABUTD,0,0.0957027744,0.0957027744,0,0,1
ABUTt2pp,0,1000,1000,0,0,1
ABUTtex,-0.2178542628,0,0.2178542628,0,0,1
ACACCT,0,1.00974195868289E-28,1.00974195868289E-28,0,0,1
ACACT1r,-0.2026449734,0.1725,0.3751449734,0,0,0
ACACT2r,-0.2026449734,0.1725,0.3751449734,0,0,0
ACACT3r,-0.2026449734,0.0581124586,0.260757432,0,0,0
ACACT4r,-0.4179111706,0.0581124586,0.4760236292,0,0,0
ACACT5r,-0.6471832241,0.0581124586,0.7052956827,0,0,0
ACACT6r,-0.6471832225,0.0186612936,0.6658445161,0,0,0
ACACT7r,-0.6471832241,0.0093306468,0.6565138709,0,0,0
ACACT8r,-0.0010174713,0.6471832271,0.6482006984,0,0,0
ACACt2pp,0,0,0,1,1,1
ACACtex,0,0,0,1,1,1
ACALD,-0.6438490581,8.5526455921,9.1964946502,0,0,0
ACALDtex,-0.5491602163,0,0.5491602163,0,0,1
ACALDtpp,-0.5491602163,0,0.5491602163,0,0,1
ACANTHAT,0,0,0,1,1,1
ACBIPGT,0,0,0,1,1,1
ACCOAC,0,3.3497763078,3.3497763078,0,0,1
ACCOAL,-8.27180612553028E-25,1000,1000,0,0,0
ACGAL1PPpp,0,0,0,1,1,1
ACGAL1Ptex,0,0,0,1,1,1
ACGALtex,0,0,0,1,1,1
ACGAM1PPpp,0,0,0,1,1,1
ACGAM1Ptex,0,0,0,1,1,1
ACGAMK,0,0.0478513872,0.0478513872,0,0,1
ACGAMT,-7.01837975238261E-25,0.0174478916,0.0174478916,0,0,0
ACGAptspp,0,0,0,1,1,1
ACGAtex,0,0,0,1,1,1
ACGK,0,0.0957027744,0.0957027744,0,0,1
ACGS,0,0.0957027744,0.0957027744,0,0,1
ACHBS,0,0.1759568427,0.1759568427,0,0,1
ACKr,-0.0702811486,4.27061589169374E-16,0.0702811486,0,0,0
ACLS,-3.28167459980891E-17,0.23,0.23,0,0,0
ACM6PH,7.31741009502097E-14,0.0478513872,0.0478513872,0,0,1
ACMAMUT,0,0.0174478916,0.0174478916,0,0,1
ACMANAptspp,0,0,0,1,1,1
ACMANAtex,0,0,0,1,1,1
ACMUMptspp,0,0,0,1,1,1
ACMUMtex,0,0,0,1,1,1
ACNAMt2pp,0,0,0,1,1,1
ACNAMtex,0,0,0,1,1,1
ACNML,0,0,0,1,1,1
ACOAD1f,-0.1725,0.2026449742,0.3751449742,0,0,0
ACOAD2f,-0.1725,0.2026449742,0.3751449742,0,0,0
ACOAD3f,-0.0581124585,0.2026449742,0.2607574327,0,0,0
ACOAD4f,-0.0581124585,0.4179111725,0.476023631,0,0,0
ACOAD5f,-0.0581124585,0.6471832255,0.705295684,0,0,0
ACOAD6f,-0.0186612936,0.6471832255,0.6658445191,0,0,0
ACOAD7f,-0.0035556463,0.6471832255,0.6507388718,0,0,0
ACOAD8f,-3.34477175273696E-19,0.6471832271,0.6471832271,0,0,0
ACOATA,-3.3497762878,0.2026449742,3.552421262,0,0,0
ACODA,0,0.0957027744,0.0957027744,0,0,1
ACOLIPAabctex,-6.93775657658303E-30,0.00485,0.00485,0,0,0
ACONIs,0,0,0,1,1,1
ACONMT,0,0,0,1,1,1
ACONTa,1.02790345243072E-12,0.3020982388,0.3020982388,0,0,1
ACONTb,-8.4808666393846E-16,0.3020982388,0.3020982388,0,0,0
ACOTA,-0.0957027744,2.58143367841879E-13,0.0957027744,0,0,0
ACPPAT120,0,3.3497763078,3.3497763078,0,0,1
ACPPAT140,0,3.3497763078,3.3497763078,0,0,1
ACPPAT141,0,3.3497763078,3.3497763078,0,0,1
ACPPAT160,0,3.3497763078,3.3497763078,0,0,1
ACPPAT161,0,3.3497763078,3.3497763078,0,0,1
ACPPAT180,0,3.3497763078,3.3497763078,0,0,1
ACPPAT181,0,3.3497763078,3.3497763078,0,0,1
ACPS1,0,0,0,1,1,1
ACS,-1.97876479713106E-12,0.0957027744,0.0957027744,0,0,0
ACSERtex,-0.2822844264,0,0.2822844264,0,0,1
ACSERtpp,0,0.2822844272,0.2822844272,0,0,1
ACt2rpp,-3.12E-11,1.34999999999736E-15,3.120135E-11,0,0,0
ACt4pp,0,3.120135E-11,3.120135E-11,0,0,1
ACtex,-3.12E-11,1.35E-15,3.120135E-11,0,0,0
ADA,0,0.5755059102,0.5755059102,0,0,1
ADCL,0,1.86645902530472E-05,1.86645902530472E-05,0,0,1
ADCS,0,1.86645902530472E-05,1.86645902530472E-05,0,0,1
ADD,0,0.5755059102,0.5755059102,0,0,1
ADEt2rpp,-0.1865530755,0,0.1865530755,0,0,1
ADEtex,-0.1865530755,0,0.1865530755,0,0,1
ADK1,-8.22985771937749E-06,0.0955831737,0.0955914036,0,0,0
ADK3,-1000,3.4221148169,1003.4221148169,0,0,0
ADK4,-3.3497762878,0,3.3497762878,0,0,1
ADMDC,0,0.0478513872,0.0478513872,0,0,1
ADNCYC,-1.87E-32,0.0088019316,0.0088019316,0,0,0
ADNK1,0,3.3497763078,3.3497763078,0,0,1
ADNUC,0,3.3497763078,3.3497763078,0,0,1
ADNt2pp,0,1000,1000,0,0,1
ADNt2rpp,-1000,0,1000,0,0,1
ADNtex,-0.0608574333,0,0.0608574333,0,0,1
ADOCBIK,0,0,0,1,1,1
ADOCBLS,0,0,0,1,1,1
ADOCBLabcpp,0,0,0,1,1,1
ADOCBLtonex,0,0,0,1,1,1
ADPRDP,0,0.837444077,0.837444077,0,0,1
ADPT,0,3.3497763078,3.3497763078,0,0,1
ADSK,0,0.4607264417,0.4607264417,0,0,1
ADSL1r,0,0.5755059102,0.5755059102,0,0,1
ADSL2r,5.8411922329834E-17,0.343546031,0.343546031,0,0,1
ADSS,0,0.5755059102,0.5755059102,0,0,1
AGDC,0,0.0957027744,0.0957027744,0,0,1
AGM3PA,0,0.0478513872,0.0478513872,0,0,1
AGM3PApp,0,0.1065599509,0.1065599509,0,0,1
AGM3PH,0,0.0478513872,0.0478513872,0,0,1
AGM3Pt2pp,0,0.0478513872,0.0478513872,0,0,1
AGM4PA,0,0.0478513872,0.0478513872,0,0,1
AGM4PApp,0,0.1062519741,0.1062519741,0,0,1
AGM4PCP,0,0.0478513872,0.0478513872,0,0,1
AGM4PCPpp,0,0.1064973735,0.1064973735,0,0,1
AGM4PH,0,0.0478513872,0.0478513872,0,0,1
AGM4Pt2pp,0,0.0478513872,0.0478513872,0,0,1
AGMH,0,0.0478513872,0.0478513872,0,0,1
AGMHE,0,0.0194,0.0194,0,0,1
AGMT,0,0.0957027744,0.0957027744,0,0,1
AGMt2pp,0,0.0478513872,0.0478513872,0,0,1
AGMtex,-0.0957027744,0,0.0957027744,0,0,1
AGPAT120,0,0.8301770604,0.8301770604,0,0,1
AGPAT140,7.00649232162409E-46,0.8301770604,0.8301770604,0,0,1
AGPAT141,4.4702117962524E-30,0.8301770604,0.8301770604,0,0,1
AGPAT160,0,0.8301770604,0.8301770604,0,0,1
AGPAT161,1.9462478671178E-47,0.8301770604,0.8301770604,0,0,1
AGPAT180,0,0.8301770604,0.8301770604,0,0,1
AGPAT181,2.7015417509339E-45,0.8301770604,0.8301770604,0,0,1
AGPR,-0.0957027744,0,0.0957027744,0,0,1
AGt3,0,0,0,1,1,1
AHCYSNS,2.03232486378657E-17,0.0608574333,0.0608574333,0,0,1
AICART,-5.5511151231254E-17,0.3435844697,0.3435844697,0,0,0
AIRC2,-5.5511151231254E-17,0.343546031,0.343546031,0,0,0
AIRC3,-0.3435460296,0,0.3435460296,0,0,1
AKGDH,-1.06E-12,0.2160644933,0.2160644933,0,0,0
AKGt2rpp,-0.2178542628,0,0.2178542628,0,0,1
AKGtex,-0.2178542628,0,0.2178542628,0,0,1
ALAALAD,0,3.3497763078,3.3497763078,0,0,1
ALAALAabcpp,0,0.1071147496,0.1071147496,0,0,1
ALAALAr,-1.79972742491034E-29,3.3497763078,3.3497763078,0,0,0
ALAALAtex,-0.0845642758,0,0.0845642758,0,0,1
ALAGLUE,0,0.1046291986,0.1046291986,0,0,1
ALAR,-2.53055226606209E-17,2.2550375793,2.2550375793,0,0,0
ALATA_D2,0,2.2550375793,2.2550375793,0,0,1
ALATA_L,-1000,1000,2000,0,0,0
ALATA_L2,0,2.2550375793,2.2550375793,0,0,1
ALATRS,0,0,0,1,1,1
ALAabcpp,0,3.3497763078,3.3497763078,0,0,1
ALAt2pp,0,1000,1000,0,0,1
ALAt2rpp,-1000,0,1000,0,0,1
ALAt4pp,0,1000,1000,0,0,1
ALAtex,-0.46,0,0.46,0,0,1
ALCD19,-0.23,0,0.23,0,0,1
ALCD2x,-0.46,0,0.46,0,0,1
ALDD19xr,0,0,0,1,1,1
ALDD2x,0,0.0957027744,0.0957027744,0,0,1
ALDD2y,0,0.0957027744,0.0957027744,0,0,1
ALDD3y,0,0,0,1,1,1
ALDD4,0,0,0,1,1,1
ALLK,0,0,0,1,1,1
ALLPI,0,0,0,1,1,1
ALLTAMH,-8.90766171531111E-14,0.343546031,0.343546031,0,0,0
ALLTN,-8.90766171531111E-14,0.343546031,0.343546031,0,0,0
ALLTNt2rpp,-0.2989226201,0,0.2989226201,0,0,1
ALLTNtex,-0.2989226201,0,0.2989226201,0,0,1
ALLULPE,0,0,0,1,1,1
ALLabcpp,0,0,0,1,1,1
ALLtex,0,0,0,1,1,1
ALPATE160pp,0,0,0,1,1,1
ALPATG160pp,0,0,0,1,1,1
ALR2,0,0.3263792451,0.3263792451,0,0,1
ALR4x,0,0.3263792451,0.3263792451,0,0,1
ALTRH,0,0,0,1,1,1
AM3PA,0,0.0478513872,0.0478513872,0,0,1
AM4PA,0,0.0478513872,0.0478513872,0,0,1
AM4PCP,0,0.0478513872,0.0478513872,0,0,1
AMALT1,0,0,0,1,1,1
AMALT2,0,0,0,1,1,1
AMALT3,0,0,0,1,1,1
AMALT4,0,0,0,1,1,1
AMANAPEr,0,0,0,1,1,1
AMANK,0,0,0,1,1,1
AMAOTr,1.38282253475337E-14,3.53115456479248E-08,3.53115318196995E-08,0,0,1
AMMQLT8,0,4.66614614740795E-06,4.66614614740795E-06,0,0,1
AMPMS2,-1.74171093669141E-15,4.66614614740795E-06,4.66614614914966E-06,0,0,0
AMPN,0,3.3497763079,3.3497763079,0,0,1
AMPTASECG,0,0.8301770604,0.8301770604,0,0,1
AMPTASEPG,0,6.75985002001166E-14,6.75985002001166E-14,0,0,1
AMPtex,0,0,0,1,1,1
ANHGMtex,-0.0646726494,1.61131563338992E-13,0.0646726494,0,0,0
ANHMK,0,0.0478513872,0.0478513872,0,0,1
ANPRT,0,0.0357434938,0.0357434938,0,0,1
ANS,0,0.0357434938,0.0357434938,0,0,1
AOBUTDs,0,0.7200660732,0.7200660732,0,0,1
AOXSr2,0,7.6484547747504E-10,7.6484547747504E-10,0,0,1
AP4AH,0,3.3497763078,3.3497763078,0,0,1
AP4AS,0,3.3497763078,3.3497763078,0,0,1
AP5AH,0,0,0,1,1,1
APCS,0,0,0,1,1,1
APG3PAT120,0,0.8301770604,0.8301770604,0,0,1
APG3PAT140,0,0.8301770604,0.8301770604,0,0,1
APG3PAT141,0,0.8301770604,0.8301770604,0,0,1
APG3PAT160,0,0.8301770604,0.8301770604,0,0,1
APG3PAT161,0,0.8301770604,0.8301770604,0,0,1
APG3PAT180,0,0.8301770604,0.8301770604,0,0,1
APG3PAT181,0,0.8301770604,0.8301770604,0,0,1
APH120,0,3.3497763078,3.3497763078,0,0,1
APH140,0,3.3497763078,3.3497763078,0,0,1
APH141,0,3.3497763078,3.3497763078,0,0,1
APH160,0,3.3497763078,3.3497763078,0,0,1
APH161,0,3.3497763078,3.3497763078,0,0,1
APH180,0,3.3497763078,3.3497763078,0,0,1
APH181,0,3.3497763078,3.3497763078,0,0,1
APPLDHr,0,0,0,1,1,1
APRAUR,8.35561470810096E-27,9.3322950214169E-06,9.3322950214169E-06,0,0,1
ARAI,0,0,0,1,1,1
ARBTNR1,0,0.7057231425,0.7057231425,0,0,1
ARBTNR2,0,0.7057231425,0.7057231425,0,0,1
ARBTNR3,0,0.7057231425,0.7057231425,0,0,1
ARBTNabcpp,0,1.411446285,1.411446285,0,0,1
ARBTNexs,0,1.411446285,1.411446285,0,0,1
ARBTNtex,0,1.411446285,1.411446285,0,0,1
ARBTNtonex,0,1.411446285,1.411446285,0,0,1
ARBTNtpp,0,1.411446285,1.411446285,0,0,1
ARBTptspp,0,0,0,1,1,1
ARBTtex,0,0,0,1,1,1
ARBabcpp,0,3.3497763078,3.3497763078,0,0,1
ARBt2rpp,-3.3497762878,7.39086768,10.7406439678,0,0,0
ARBt3ipp,0,7.39086768,7.39086768,0,0,1
ARBtex,0,0,0,1,1,1
ARGAGMt7pp,-0.0957027744,0.0957027744,0.1914055488,0,0,0
ARGDC,0,0.0957027744,0.0957027744,0,0,1
ARGDCpp,0,0.0957027744,0.0957027744,0,0,1
ARGORNt7pp,0,7.3908676801,7.3908676801,0,0,1
ARGSL,0,0.0957027744,0.0957027744,0,0,1
ARGSS,0,0.0957027744,0.0957027744,0,0,1
ARGTRS,0,0,0,1,1,1
ARGabcpp,0,3.1997476669,3.1997476669,0,0,1
ARGt3pp,0,7.39086768,7.39086768,0,0,1
ARGtex,-0.0957027744,0,0.0957027744,0,0,1
ASAD,-0.7209691656,0,0.7209691656,0,0,1
ASCBPL,0,0,0,1,1,1
ASCBptspp,0,0,0,1,1,1
ASCBtex,0,0,0,1,1,1
ASNN,0,3.3497763078,3.3497763078,0,0,1
ASNNpp,0,3.3497763078,3.3497763078,0,0,1
ASNS1,0,1.6748881539,1.6748881539,0,0,1
ASNS2,0,3.3497763078,3.3497763078,0,0,1
ASNTRS,0,0,0,1,1,1
ASNabcpp,0,3.3497763078,3.3497763078,0,0,1
ASNt2rpp,-3.3497762878,0,3.3497762878,0,0,1
ASNtex,-0.4182179432,0,0.4182179432,0,0,1
ASO3t8pp,0,0,0,1,1,1
ASO3tex,0,0,0,1,1,1
ASP1DC,0,1.20524707002105E-05,1.20524707002105E-05,0,0,1
ASPCT,0,0.4182179446,0.4182179446,0,0,1
ASPK,0,0.7209691671,0.7209691671,0,0,1
ASPO3,0,4.76867720937519E-05,4.76867720937519E-05,0,0,1
ASPO4,0,4.76867720937308E-05,4.76867720937308E-05,0,0,1
ASPO5,0,4.76867720937308E-05,4.76867720937308E-05,0,0,1
ASPO6,0,4.76867720937308E-05,4.76867720937308E-05,0,0,1
ASPT,0,0.6576594915,0.6576594915,0,0,1
ASPTA,-0.7564115502,-3.84460767133632E-13,0.7564115502,0,0,1
ASPTRS,0,0,0,1,1,1
ASPabcpp,0,3.3497763078,3.3497763078,0,0,1
ASPt2_2pp,0,14.78173536,14.78173536,0,0,1
ASPt2_3pp,0,7.39086768,7.39086768,0,0,1
ASPt2pp,0,1000,1000,0,0,1
ASPt2rpp,-1000,3.3497763078,1003.3497763078,0,0,0
ASPtex,-0.4373863298,0,0.4373863298,0,0,1
ASR,0,0,0,1,1,1
AST,0,0.0957027744,0.0957027744,0,0,1
ATHRDHr,-8.6004969693,0,8.6004969693,0,0,1
ATPHs,0,0.5755059102,0.5755059102,0,0,1
ATPM,-0.0005159992,2.9775857944,2.9781017936,0,0,0
ATPPRT,0,0.0608574333,0.0608574333,0,0,1
ATPS4rpp,1.88546988594034E-06,2.6752444551,2.6752425696,0,0,1
BALAt2pp,0,1.20054654705484E-16,1.20054654705484E-16,0,0,1
BALAtex,0,1.20054654705484E-16,1.20054654705484E-16,0,0,1
BETALDHx,0,0,0,1,1,1
BETALDHy,0,0,0,1,1,1
BMOCOS,0,2.45358069562519E-06,2.45358069562519E-06,0,0,1
BMOGDS1,0,2.45358069562519E-06,2.45358069562519E-06,0,0,1
BMOGDS2,0,2.45358069562519E-06,2.45358069562519E-06,0,0,1
BPNT,2.3648008690938E-16,0.4607264417,0.4607264417,0,0,1
BSORx,0,0,0,1,1,1
BSORy,0,0,0,1,1,1
BTNt2ipp,0,0,0,1,1,1
BTNtex,-7.21244256202068E-30,0,7.21244256202068E-30,0,0,1
BTS5,0,2.86925383578122E-08,2.86925383578122E-08,0,0,1
BUTCT,0,0,0,1,1,1
BUTSO3abcpp,1.51461293802435E-28,0,-1.51461293802435E-28,0,0,1
BUTSO3tex,1.98161859391519E-27,0,-1.98161859391519E-27,0,0,1
BUTt2rpp,8.6537767965626E-26,0,-8.6537767965626E-26,0,0,1
BUTtex,8.6537767965626E-26,0,-8.6537767965626E-26,0,0,1
BWCOGDS1,0,0,0,1,1,1
BWCOGDS2,0,0,0,1,1,1
BWCOS,0,0,0,1,1,1
CA2t3pp,0,1000,1000,0,0,1
CA2tex,0,0.0001046794,0.0001046794,0,0,1
CADVtpp,0,0.186574928,0.186574928,0,0,1
CAT,0,0,0,1,1,1
CAt6pp,-1000,0,1000,0,0,1
CBIAT,0,0,0,1,1,1
CBItonex,0,0,0,1,1,1
CBIuabcpp,0,0,0,1,1,1
CBL1abcpp,0,4.6661475138321E-06,4.6661475138321E-06,0,0,1
CBL1tonex,0,4.66614751401824E-06,4.66614751401824E-06,0,0,1
CBLAT,0,4.66614751401824E-06,4.66614751401824E-06,0,0,1
CBMD,0,0.2951618703,0.2951618703,0,0,1
CBMKr,-1.6748881439,0.4685420049,2.1434301488,0,0,0
CBPS,0,1.6748881539,1.6748881539,0,0,1
CCGS,0,0,0,1,1,1
CD2abcpp,0,3.3497763078,3.3497763078,0,0,1
CD2t3pp,0,14.78173536,14.78173536,0,0,1
CD2tex,0,0,0,1,1,1
CD2tpp,0,14.78173536,14.78173536,0,0,1
CDAPPA120,0,3.3497763078,3.3497763078,0,0,1
CDAPPA140,0,3.3497763078,3.3497763078,0,0,1
CDAPPA141,0,3.3497763078,3.3497763078,0,0,1
CDAPPA160,0,3.3497763078,3.3497763078,0,0,1
CDAPPA161,0,3.3497763078,3.3497763078,0,0,1
CDAPPA180,0,3.3497763078,3.3497763078,0,0,1
CDAPPA181,0,3.3497763078,3.3497763078,0,0,1
CDGR,0,0,0,1,1,1
CDGS,0,0,0,1,1,1
CDPMEK,2.77555756156289E-17,0.0001386453,0.0001386453,0,0,1
CFAS160E,0,0,0,1,1,1
CFAS160G,0,0,0,1,1,1
CFAS180E,0,0,0,1,1,1
CFAS180G,0,0,0,1,1,1
CGLYabcpp,0,0.8301770604,0.8301770604,0,0,1
CGLYtex,-0.0957027744,0,0.0957027744,0,0,1
CHLabcpp,0,0,0,1,1,1
CHLt2pp,0,0,0,1,1,1
CHLtex,4.11610090101983E-27,0,-4.11610090101983E-27,0,0,1
CHOLD,0,0,0,1,1,1
CHORM,0,0.0714869876,0.0714869876,0,0,1
CHORS,0,0.0714869876,0.0714869876,0,0,1
CHRPL,0,4.66614751092665E-06,4.66614751092665E-06,0,0,1
CHTBSptspp,2.3301198115995E-27,0,-2.3301198115995E-27,0,0,1
CHTBStex,2.3301198115995E-27,0,-2.3301198115995E-27,0,0,1
CINNDO,0,0,0,1,1,1
CITL,0,0.0957027744,0.0957027744,0,0,1
CITt3pp,0,4.92724512,4.92724512,0,0,1
CITt7pp,0,4.92724512,4.92724512,0,0,1
CITtex,-0.2763326747,0,0.2763326747,0,0,1
CLIPAabctex,0,0.0093306468,0.0093306468,0,0,1
CLPNH120pp,0,0.6728168718,0.6728168718,0,0,1
CLPNH140pp,0,0.6728168718,0.6728168718,0,0,1
CLPNH141pp,0,0.6728168718,0.6728168718,0,0,1
CLPNH160pp,0,0.6728168718,0.6728168718,0,0,1
CLPNH161pp,0,0.6728168718,0.6728168718,0,0,1
CLPNH180pp,0,0.6728168718,0.6728168718,0,0,1
CLPNH181pp,0,0.6728168718,0.6728168718,0,0,1
CLPNS120pp,0,0.6728168718,0.6728168718,0,0,1
CLPNS140pp,0,0.6728168718,0.6728168718,0,0,1
CLPNS141pp,0,0.6728168718,0.6728168718,0,0,1
CLPNS160pp,0,0.6728168718,0.6728168718,0,0,1
CLPNS161pp,0,0.6728168718,0.6728168718,0,0,1
CLPNS180pp,0,0.6728168718,0.6728168718,0,0,1
CLPNS181pp,0,0.6728168718,0.6728168718,0,0,1
CLt3_2pp,0,5.23397028473485E-05,5.23397028473485E-05,0,0,1
CLtex,0,0.0001046794,0.0001046794,0,0,1
CMPN,0,1.1165921026,1.1165921026,0,0,1
CMPtex,4.03896783473158E-28,0,-4.03896783473158E-28,0,0,1
CMtex,0,14.78173536,14.78173536,0,0,1
