"","Reaction","LowerBound","UpperBound","Reaction Name","Formula","Gene-Protein-Reaction Association","Gene-Reaction Association","Protein-Reaction Association","Subsystem","EC Number","Reversible","Lower Bound","Upper Bound","Objective (c)"
"87","DAPtex",-0.1865749277,0,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)","15dap[e]  <=> 15dap[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"88","DGK1",-0.0608574333,3.3497763078,"deoxyguanylate kinase (dGMP:ATP)","atp[c] + dgmp[c]  <=> adp[c] + dgdp[c]","Gmkec (b3648)","b3648","Gmkec","Nucleotide Salvage Pathway","2.7.4.8",1,-1000,1000,0
"89","DHAtex",-0.23,0,"Dihydroxyacetone transport via diffusion (extracellular to periplasm)","dha[e]  <=> dha[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"90","DHAtpp",-0.23,0,"Dihydroxyacetone transport via facilitated diffusion (periplasm)","dha[p]  <=> dha[c]",NA,NA,NA,"Transport, Inner Membrane",NA,1,-1000,1000,0
"91","DHORTS",-0.4182179432,0,"dihydroorotase","dhor-S[c] + h2o[c]  <=> cbasp[c] + h[c]","PyrC (b1062)","b1062","PyrC","Purine and Pyrimidine Biosynthesis","3.5.2.3",1,-1000,1000,0
"92","DSERDHr",-0.6751452032,0,"D-serine dehydrogenase","nadp[c] + ser-D[c]  <=> 2amsa[c] + h[c] + nadph[c]","YdfG (b1539)","b1539","YdfG","Glycine and Serine Metabolism",NA,1,-1000,1000,0
"93","DURIPP",-0.2626276679,0.0608574333,"deoxyuridine phosphorylase","duri[c] + pi[c]  <=> 2dr1p[c] + ura[c]","( DeoA (b4382)  ) or ( DeoD (b4384)  )","(b4382 or b4384)","( DeoA ) or ( DeoD )","Nucleotide Salvage Pathway",NA,1,-1000,1000,0
"94","ECOAH1",-0.2026449734,0.1725,"3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)","3hbcoa[c]  <=> b2coa[c] + h2o[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","4.2.1.17",1,-1000,1000,0
"95","ECOAH2",-0.2026449734,0.1725,"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)","3hhcoa[c]  <=> h2o[c] + hx2coa[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","4.2.1.17",1,-1000,1000,0
"96","ECOAH3",-0.2026449734,0.0581124586,"3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)","3hocoa[c]  <=> h2o[c] + oc2coa[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","4.2.1.17",1,-1000,1000,0
"97","ECOAH4",-0.4179111706,0.0581124586,"3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)","3hdcoa[c]  <=> dc2coa[c] + h2o[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","4.2.1.17",1,-1000,1000,0
"98","ECOAH5",-0.6471832241,0.0581124586,"3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)","3hddcoa[c]  <=> dd2coa[c] + h2o[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","4.2.1.17",1,-1000,1000,0
"99","ECOAH6",-0.6471832241,0.0186612936,"3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)","3htdcoa[c]  <=> h2o[c] + td2coa[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","4.2.1.17",1,-1000,1000,0
"100","ECOAH7",-0.6471832241,0.0093306468,"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)","3hhdcoa[c]  <=> h2o[c] + hdd2coa[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","4.2.1.17",1,-1000,1000,0
"101","ECOAH8",-0.6471832241,0.0010174713,"3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)","3hodcoa[c]  <=> h2o[c] + od2coa[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","4.2.1.17",1,-1000,1000,0
"102","ETHAtex",-0.3110260872,0,"ethanolamine transport via diffusion (extracellular)","etha[e]  <=> etha[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"103","ETOHtex",-0.46,0,"ethanol transport via diffusion (extracellular to periplasm)","etoh[e]  <=> etoh[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"104","ETOHtrpp",-0.46,0,"ethanol reversible transport via diffusion (periplasm)","etoh[p]  <=> etoh[c]","SPONTANEOUS (s0001)","s0001","SPONTANEOUS","Transport, Inner Membrane",NA,1,-1000,1000,0
"105","F6PA",-0.2927694927,0.23,"fructose 6-phosphate aldolase","f6p[c]  <=> dha[c] + g3p[c]","( Fsa (b0825)  ) or ( TalC (b3946)  )","(b0825 or b3946)","( Fsa ) or ( TalC )","Glycolysis/Gluconeogenesis",NA,1,-1000,1000,0
"106","FE2tex",-1.9096037879,1000,"iron (II) transport via diffusion (extracellular to periplasm)","fe2[e]  <=> fe2[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"107","FE3tex",-1000,1.9096037973,"iron (III) transport via diffusion (extracellular to periplasm)","fe3[e]  <=> fe3[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"108","FORtex",-2.2311938955,0,"formate transport via diffusion (extracellular to periplasm)","for[e]  <=> for[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"109","G3PD2",-2.3786640345,2.95822839457879e-31,"glycerol-3-phosphate dehydrogenase (NADP)","glyc3p[c] + nadp[c]  <=> dhap[c] + h[c] + nadph[c]","GpsA (b3608)","b3608","GpsA","Alternate Carbon Metabolism","1.1.1.94",1,-1000,1000,0
"110","G3PEtex",-0.0194,0,"glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm)","g3pe[e]  <=> g3pe[p]","( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  ) or ( PhoE (b0241)  )","(b0929 or b1377 or b2215 or b0241)","( OmpF ) or ( OmpN ) or ( OmpC ) or ( PhoE )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"111","G3PGtex",-0.0194,0,"glycerophoglycerol transport via diffusion (extracellular to periplasm)","g3pg[e]  <=> g3pg[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"112","GARFT",-3.3497762878,0.343546031,"phosphoribosylglycinamide formyltransferase","10fthf[c] + gar[c]  <=> fgam[c] + h[c] + thf[c]","PurN (b2500)","b2500","PurN","Purine and Pyrimidine Biosynthesis","2.1.2.2",1,-1000,1000,0
"113","GHMT2r",-0.3308748294,0.6046131674,"glycine hydroxymethyltransferase, reversible","ser-L[c] + thf[c]  <=> gly[c] + h2o[c] + mlthf[c]","GlyA (b2551)","b2551","GlyA","Glycine and Serine Metabolism","2.1.2.1",1,-1000,1000,0
"114","GLCNtex",-0.23,0,"D-gluconate transport via diffusion (extracellular to periplasm)","glcn[e]  <=> glcn[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"115","GLCtex",0.0005734319,0.2300000018,"glucose transport via diffusion (extracellular to periplasm)","glc-D[e]  <=> glc-D[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"116","GLUDy",-2.6960564211,3.3497763078,"glutamate dehydrogenase (NADP)","glu-L[c] + h2o[c] + nadp[c]  <=> akg[c] + h[c] + nadph[c] + nh4[c]","GdhA (b1761)","b1761","GdhA","Glutamate Metabolism","1.4.1.4",1,-1000,1000,0
"117","GLUR",-0.1046291984,0,"glutamate racemase","glu-D[c]  <=> glu-L[c]","MurI (b3967)","b3967","MurI","Cell Envelope Biosynthesis","5.1.1.3",1,-1000,1000,0
"118","GLUt2rpp",-1000,0.8301770604,"L-glutamate transport via proton symport, reversible (periplasm)","glu-L[p] + h[p]  <=> glu-L[c] + h[c]","GltP (b4077)","b4077","GltP","Transport, Inner Membrane",NA,1,-1000,1000,0
"119","GLUtex",-0.2178542628,0,"L-glutamate transport via diffusion (extracellular to periplasm)","glu-L[e]  <=> glu-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"120","GLYALDtex",-0.23,0,"Glyceraldehyde transport via diffusion (extracellular to periplasm)","glyald[e]  <=> glyald[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"121","GLYALDtpp",-0.23,0,"Glyceraldehyde facilitated diffusion (periplasm)","glyald[p]  <=> glyald[c]","GlpF (b3927)","b3927","GlpF","Transport, Inner Membrane",NA,1,-1000,1000,0
"122","GLYAT",-0.7209691656,8.6010809793,"glycine C-acetyltransferase","accoa[c] + gly[c]  <=> 2aobut[c] + coa[c]","Kbl (b3617)","b3617","Kbl","Glycine and Serine Metabolism","2.3.1.29",1,-1000,1000,0
"123","GLYC3Ptex",-0.0194,0,"Glycerol-3-phosphate transport via diffusion (extracellular to periplasm)","glyc3p[e]  <=> glyc3p[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"124","GLYCAt2rpp",-0.2019869994,0,"D-glycerate transport via proton symport, reversible (periplasm)","glyc-R[p] + h[p]  <=> glyc-R[c] + h[c]","( GudP (b2789)  ) or ( GarP (b3127)  )","(b2789 or b3127)","( GudP ) or ( GarP )","Transport, Inner Membrane",NA,1,-1000,1000,0
"125","GLYCAtex",-0.2019869994,0,"D-glycerate transport via diffusion (extracellular to periplasm)","glyc-R[e]  <=> glyc-R[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"126","GLYCLTt2rpp",-1000,-4.54747350886464e-13,"glycolate transport via proton symport, reversible (periplasm)","glyclt[p] + h[p]  <=> glyclt[c] + h[c]","( LldP (b3603)  ) or ( GlcA (b2975)  )","(b3603 or b2975)","( LldP ) or ( GlcA )","Transport, Inner Membrane",NA,1,-1000,1000,0
"127","GLYCLTtex",-0.3949682089,0,"glycolate transport via diffusion (extracellular to periplasm)","glyclt[e]  <=> glyclt[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"128","GLYCtex",-0.23,0,"glycerol transport via diffusion (extracellular to periplasm)","glyc[e]  <=> glyc[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"129","GLYCtpp",-0.6728168678,0.23,"glycerol transport via channel (periplasm)","glyc[c]  <=> glyc[p]","( GlpF (b3927)  ) or ( SPONTANEOUS (s0001)  )","(b3927 or s0001)","( GlpF ) or ( SPONTANEOUS )","Transport, Inner Membrane",NA,1,-1000,1000,0
"130","GLYt2rpp",-1000,0,"glycine reversible transport via proton symport (periplasm)","gly[p] + h[p]  <=> gly[c] + h[c]",NA,NA,NA,"Transport, Inner Membrane",NA,1,-1000,1000,0
"131","GLYtex",-0.6231473239,0,"Glycine transport via diffusion (extracellular to periplasm)","gly[e]  <=> gly[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"132","GTHRDtex",-0.0957027744,0,"glutathione transport via diffusion (extracellular to periplasm)","gthrd[e]  <=> gthrd[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"133","GUAtex",-0.2344522774,0,"Guanine transport via diffusion (extracellular to periplasm)","gua[e]  <=> gua[p]","Tsx (b0411)","b0411","Tsx","Transport, Outer Membrane",NA,1,-1000,1000,0
"134","GUAtpp",-14.78173534,0,"Guanine transport via diffusion (periplasm)","gua[p]  <=> gua[c]",NA,NA,NA,"Transport, Inner Membrane",NA,1,-1000,1000,0
"135","H2Otex",-502.552261387,0.8511938975,"H2O transport via diffusion (extracellular to periplasm)","h2o[e]  <=> h2o[p]","( SPONTANEOUS (s0001)  ) or ( OmpA (b0957)  ) or ( OmpL (b3875)  ) or ( OmpC (b2215)  ) or ( PhoE (b0241)  ) or ( OmpG (b1319)  ) or ( OmpN (b1377)  ) or ( OmpF (b0929)  )","(s0001 or b0957 or b3875 or b2215 or b0241 or b1319 or b1377 or b0929)","( SPONTANEOUS ) or ( OmpA ) or ( OmpL ) or ( OmpC ) or ( PhoE ) or ( OmpG ) or ( OmpN ) or ( OmpF )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"136","H2Otpp",-4.7420668871,0.8511938975,"H2O transport via diffusion (periplasm)","h2o[p]  <=> h2o[c]","( SPONTANEOUS (s0001)  ) or ( AqpZ (b0875)  )","(s0001 or b0875)","( SPONTANEOUS ) or ( AqpZ )","Transport, Inner Membrane",NA,1,-1000,1000,0
"137","H2Stex",-0.46072644,0,"h2s transport via diffusion (extracellular to periplasm)","h2s[e]  <=> h2s[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"138","HACD1",-0.2026449734,0.1725,"3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)","aacoa[c] + h[c] + nadh[c]  <=> 3hbcoa[c] + nad[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","1.1.1.35",1,-1000,1000,0
"139","HACD2",-0.2026449734,0.1725,"3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)","3ohcoa[c] + h[c] + nadh[c]  <=> 3hhcoa[c] + nad[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","1.1.1.35",1,-1000,1000,0
"140","HACD3",-0.2026449734,0.0581124586,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)","3oocoa[c] + h[c] + nadh[c]  <=> 3hocoa[c] + nad[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","1.1.1.35",1,-1000,1000,0
"141","HACD4",-0.4179111706,0.0581124586,"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)","3odcoa[c] + h[c] + nadh[c]  <=> 3hdcoa[c] + nad[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","1.1.1.35",1,-1000,1000,0
"142","HACD5",-0.6471832225,0.0581124586,"3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)","3oddcoa[c] + h[c] + nadh[c]  <=> 3hddcoa[c] + nad[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","1.1.1.35",1,-1000,1000,0
"143","HACD6",-0.6471832241,0.0186612936,"3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)","3otdcoa[c] + h[c] + nadh[c]  <=> 3htdcoa[c] + nad[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","1.1.1.35",1,-1000,1000,0
"144","HACD7",-0.6471832241,0.0093306468,"3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)","3ohdcoa[c] + h[c] + nadh[c]  <=> 3hhdcoa[c] + nad[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","1.1.1.35",1,-1000,1000,0
"145","HACD8",-0.6471832225,0.0010174713,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal","3oodcoa[c] + h[c] + nadh[c]  <=> 3hodcoa[c] + nad[c]","( FadB (b3846)  ) or ( FadJ (b2341)  )","(b3846 or b2341)","( FadB ) or ( FadJ )","Membrane Lipid Metabolism","1.1.1.35",1,-1000,1000,0
"146","HEXt2rpp",-3.3798854236,9.3277756581396e-13,"hexanoate transport via proton symport, reversible (periplasm)","h[p] + hxa[p]  <=> h[c] + hxa[c]","AtoE (b2223)","b2223","AtoE","Transport, Inner Membrane",NA,1,-1000,1000,0
"147","HISt2rpp",-3.3497762878,0,"L-histidine reversible transport via proton symport (periplasm)","h[p] + his-L[p]  <=> h[c] + his-L[c]","AroP (b0112)","b0112","AroP","Transport, Inner Membrane",NA,1,-1000,1000,0
"148","HIStex",-0.0608574333,0,"L-histidine transport via diffusion (extracellular to periplasm)","his-L[e]  <=> his-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"149","HOMtex",-0.311135597,0,"L-homoserine transport via diffusion (extracellular to periplasm)","hom-L[e]  <=> hom-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"150","HPYRI",-1000,0,"hydroxypyruvate isomerase","hpyr[c]  <=> 2h3oppan[c]","Hyi (b0508)","b0508","Hyi","Alternate Carbon Metabolism","5.3.1.22",1,-1000,1000,0
"151","HSDy",-0.7209691656,0,"homoserine dehydrogenase (NADPH)","hom-L[c] + nadp[c]  <=> aspsa[c] + h[c] + nadph[c]","( MetL (b3940)  ) or ( ThrA (b0002)  )","(b3940 or b0002)","( MetL ) or ( ThrA )","Threonine and Lysine Metabolism","1.1.1.3",1,-1000,1000,0
"152","Htex",-2.3724316481,1000,"proton transport via diffusion (extracellular to periplasm)","h[e]  <=> h[p]","( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  ) or ( PhoE (b0241)  )","(b0929 or b1377 or b2215 or b0241)","( OmpF ) or ( OmpN ) or ( OmpC ) or ( PhoE )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"153","HXAtex",-0.1725,0,"Hexanoate transport via diffusion (extracellular to periplasm)","hxa[e]  <=> hxa[p]","( OmpC (b2215)  ) or ( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  )","(b2215 or b0241 or b0929 or b1377)","( OmpC ) or ( PhoE ) or ( OmpF ) or ( OmpN )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"154","HYXNtex",-0.2480437138,0,"Hypoxanthine transport via diffusion (extracellular to periplasm)","hxan[e]  <=> hxan[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"155","HYXNtpp",-0.2480437138,0,"Hypoxanthine transport (periplasm)","hxan[p]  <=> hxan[c]",NA,NA,NA,"Transport, Inner Membrane",NA,1,-1000,1000,0
"156","ICHORS",-1000,0.0714869876,"isochorismate synthase","chor[c]  <=> ichor[c]","MenF (b2265)","b2265","MenF","Cofactor and Prosthetic Group Biosynthesis","5.4.99.6",1,-1000,1000,0
"157","IDOND",-8.6004969693,0.23,"L-idonate 5-dehydrogenase","5dglcn[c] + h[c] + nadh[c]  <=> idon-L[c] + nad[c]","IdnD (b4267)","b4267","IdnD","Alternate Carbon Metabolism",NA,1,-1000,1000,0
"158","IDONt2rpp",-0.23,0,"L-idonate transport via proton symport, reversible (periplasm)","h[p] + idon-L[p]  <=> h[c] + idon-L[c]","IdnT (b4265)","b4265","IdnT","Transport, Inner Membrane",NA,1,-1000,1000,0
"159","IDONtex",-0.23,0,"L-idonate transport via diffusion (extracellular to periplasm)","idon-L[e]  <=> idon-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"160","ILEt2rpp",-3.3497762878,0,"L-isoleucine reversible transport via proton symport (periplasm)","h[p] + ile-L[p]  <=> h[c] + ile-L[c]","BrnQ (b0401)","b0401","BrnQ","Transport, Inner Membrane",NA,1,-1000,1000,0
"161","ILETA",-0.1759568424,0,"isoleucine transaminase","akg[c] + ile-L[c]  <=> 3mop[c] + glu-L[c]","IlvE (b3770)","b3770","IlvE","Valine, Leucine, and Isoleucine Metabolism","2.6.1.42",1,-1000,1000,0
"162","ILEtex",-0.1759568424,0,"L-isoleucine transport via diffusion (extracellular to periplasm)","ile-L[e]  <=> ile-L[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"163","IMPC",-0.3435844683,2.66529252028256e-18,"IMP cyclohydrolase","h2o[c] + imp[c]  <=> fprica[c]","PurH (b4006)","b4006","PurH","Purine and Pyrimidine Biosynthesis","3.5.4.10",1,-1000,1000,0
"164","INDOLEt2rpp",-0.0357434938,1000,"Indole transport via proton symport, reversible (periplasm)","h[p] + indole[p]  <=> h[c] + indole[c]","Mtr (b3161)","b3161","Mtr","Transport, Inner Membrane",NA,1,-1000,1000,0
"165","INDOLEtex",-0.0357434938,0,"Indole transport via diffusion (extracellular to periplasm)","indole[e]  <=> indole[p]","( PhoE (b0241)  ) or ( OmpF (b0929)  ) or ( OmpN (b1377)  ) or ( OmpC (b2215)  )","(b0241 or b0929 or b1377 or b2215)","( PhoE ) or ( OmpF ) or ( OmpN ) or ( OmpC )","Transport, Outer Membrane Porin",NA,1,-1000,1000,0
"166","INSt2rpp",-1000,0,"inosine transport in via proton symport, reversible (periplasm)","h[p] + ins[p]  <=> h[c] + ins[c]","XapB (b2406)","b2406","XapB","Transport, Inner Membrane",NA,1,-1000,1000,0
"167","INStex",-0.0608574333,0,"inosine transport via diffusion (extracellular to periplasm)","ins[e]  <=> ins[p]","Tsx (b0411)","b0411","Tsx","Transport, Outer Membrane",NA,1,-1000,1000,0
"168","IPDDI",-0.0001188298,1.98154335989547e-05,"isopentenyl-diphosphate D-isomerase","ipdp[c]  <=> dmpp[c]","Idi (b2889)","b2889","Idi","Cofactor and Prosthetic Group Biosynthesis","5.3.3.2",1,-1000,1000,0
"169","IPPMIa",-0.1778805494,0,"3-isopropylmalate dehydratase","3c2hmp[c]  <=> 2ippm[c] + h2o[c]","LeuC ( b0071 and b0072 )","(b0071 and b0072)","LeuC","Valine, Leucine, and Isoleucine Metabolism","4.2.1.33",1,-1000,1000,0
"170","IPPMIb",-0.1778805494,0,"2-isopropylmalate hydratase","2ippm[c] + h2o[c]  <=> 3c3hmp[c]","LeuC ( b0071 and b0072 )","(b0071 and b0072)","LeuC","Valine, Leucine, and Isoleucine Metabolism","4.2.1.33",1,-1000,1000,0
